DNIPROP,NOMPROP,APELPROP,TELFPROP,EMAILPROP,DIREPROP
"45612498","DANIEL","DIAS SILVA","945615748","daniel.dias@hotmail.com","Av. Rayo"
"52163485","JORGE","PUYOL LIPA","954213542","jorge.puyol@homail.com","Av. Berth"
"72458964","JUAN","CASAS MARTINES","978462138","juan.casas@gmail.com","Av. Trebol"
"73514982","VICTOR","ROSAS MORA","974816347","victor.rosas@gmail.com","Av. Flores"
"75485964","MANUEL","GUERRA SALAS","954213575","manuel.guerra@gmail.com","Av. Los Olivos"
"75962375","CARLOS","MARTINES HUAMANI","954321547","calos.martines@gmail.com","Av. Libertad"
"76321545","PEPE","RAMOS JUARES","956215478","pepe.ramos@gmail.com","Av. Libertadores"
"76852314","EFRAIN ","MORALES LUYO","945123784","efrain.morales@gmil.com","Av. Benavides"
"78456921","KEVIN","QUISPE APOLAYA","945213653","kevin.quispe@gmail.com","Av. Independecia"
"78564123","LUIS","HUATA BARRIOS","953216478","luis.huata@gmail.com","Av. Tres Mascaras"
